id,lugares,cod_formato,formato,cod_categoria,categoria,cod_uo,unidade,regiao,gratis,publico,projeto,nome,complemento,exibirdatas,tempo,tempoF,dia_da_semana,weekday,hora,destaque,foto,data_sessao,datainicial,datafinal,sinopse,ingressos,tem,dispositivo,ingresso,online,turno
70000005549213,20,2,cursos e oficinas,6,Artes Visuais,70,Santo Amaro,capital,0,outros,,Bonecos Inusitados com Rodrigo Motta,,uma,thisW,agora,sáb,5,15h,undefined,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-28 00:00:00,"Apresenta a possibilidade do participante entender as etapas na criação de um item colecionável, neste caso um boneco.  O participante é convidado a criar este item, partindo de seu formato até sua embalagem na cartela, que funciona como uma legenda para cada boneco. A atividade é totalmente manual e plástica, exigindo do participante atenção e criatividade.",outros,,,0,0,tarde
70000005549289,20,2,cursos e oficinas,6,Artes Visuais,70,Santo Amaro,capital,0,outros,,Tira de quadrinhos para a internet com Rodrigo Motta,,uma,nextW,proxima,qui,3,14h,undefined,undefined,2023-10-12 00:00:00,2023-10-12 00:00:00,2023-10-21 00:00:00,"o participante será convidado a criar uma composição de história em quadrinhos, desenhos e textos.",outros,,,0,0,tarde
70000005549622,50,2,cursos e oficinas,8,Educação,70,Santo Amaro,capital,0,jovens,Juventudes,Juventudes - Turma B 2023,Turmas quartas e sextas,primeira,nextW,proxima,qua,2,15h,undefined,undefined,2023-10-11 00:00:00,2023-08-09 00:00:00,2023-12-01 00:00:00,s/i,outros,,,0,0,tarde
70000005579216,200,4,exposições,2,Teatro,70,Santo Amaro,capital,1,outros,,"Juca, o fusca que contava histórias","Com o Grupo êBA, surgiu a partir da intersecção entre diversos interesses: a contação de histórias, as brincadeiras infantis, a cultura popular e a cultura Surda.",uma,thisW,agora,dom,6,17h,undefined,undefined,2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-08 00:00:00,"Projeto itinerante que usa como base de transporte e fonte de histórias, um tradicional fusca branco de 1978. Traz no repertório histórias autorais, que buscam mostrar um pouco da realidade da cultura surda, contribuindo para sensibilizar o público em relação à Língua de Sinais. Com o Grupo êBA. Libras.",grátis,1,Tradução em Libras,0,0,tarde
70000005591388,200,1,shows e espetáculos,2,Teatro,70,Santo Amaro,capital,1,outros,,Ilu Okan - O que a minha vó contou,Com grupo Trança de Teatro,uma,thisW,agora,sáb,5,17h,undefined,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-07 00:00:00,"Malaika, Babu e Zuri, netos da mesma avó, inventam brincadeiras e canções enquanto recontam, a seu modo, as histórias que a avó contou, em algum outro dia e lugar . A Avó não está mais. A medida que as histórias, dos heróis e heroinas negras são contadas, vamos tecendo os acontecimentos do presente, pela relação que as crianças estabelecem com um lugar fora do quintal.",grátis,,,0,0,tarde
70000005591879,200,1,shows e espetáculos,2,Teatro,70,Santo Amaro,capital,1,outros,,O Black power de Akin,,uma,nextW,proxima,sáb,5,17h,undefined,undefined,2023-10-14 00:00:00,2023-10-14 00:00:00,2023-10-14 00:00:00,"atração conta a história de Akin, menino negro de 12 anos que precisa da  ajuda de seu avô amoroso, Seu Dito Pereira, para resgatar sua autoestima destruída em seu cotidiano escolar pelas práticas racistas reproduzidas entre as crianças.",grátis,,,0,0,tarde
70000005624598,15,2,cursos e oficinas,6,Artes Visuais,70,Santo Amaro,capital,0,outros,,Aquarela realista com Fepe,com Fepe,primeira,nextW,proxima,sáb,5,10h15,undefined,undefined,2023-10-14 00:00:00,2023-10-14 00:00:00,2023-11-04 00:00:00,"A oficina de AQUARELA REALISTA busca apresentar uma técnica diferente na aquarela. O artista busca ensinar a composição de claro e escuro através de sucessivas camadas que compõem volume e tridimensionalidade, técnica  chamada de veladura.",outros,,,0,0,manhã
70000005624825,15,2,cursos e oficinas,8,Educação,70,Santo Amaro,capital,0,idosos,,Editor de texto,com Alexandre Rüger,primeira,nextW,proxima,ter,1,09h30,undefined,undefined,2023-10-10 00:00:00,2023-10-03 00:00:00,2023-10-31 00:00:00,"Utilização de editor de texto. Aprenda a editar, imprimir, formatar e utilizar as ferramentas disponíveis no programa de edição de textos.",(Em branco),,,0,0,manhã
70000005631319,270,1,shows e espetáculos,1,Música,70,Santo Amaro,capital,0,outros,,Coruja BC1,"Lançamento EP - ""Versão Brasileira"" part Dexter",uma,nextW,proxima,sex,4,21h,undefined,undefined,2023-10-13 00:00:00,2023-10-13 00:00:00,2023-10-13 00:00:00,"O conceito do EP ""Versão Brasileira"" é retratar a realidade da vida na periferia do Brasil, com simplicidade e objetividade, mas também com sarcasmo e sensibilidade. O rapper Coruja Bc1 quer compartilhar sua história e reflexões sobre as dificuldades de crescer em uma favela no país, mas também mostrar a esperança e o amor que o mantêm forte e em busca de um futuro melhor para si e para outros.",a_venda,,,0,0,noite
70000005636781,50,2,cursos e oficinas,8,Educação,70,Santo Amaro,capital,0,jovens,Juventudes,Juventudes - Turma A* 2023,Turmas terças e quintas,primeira,nextW,proxima,ter,1,15h,undefined,undefined,2023-10-10 00:00:00,2023-08-08 00:00:00,2023-11-30 00:00:00,s/i,outros,,,0,0,tarde
70000005640426,20,2,cursos e oficinas,5,Cinema,70,Santo Amaro,capital,0,outros,,Trucagem de Efeitos Especiais com RZP Filmes,com RZP Filmes,primeira,nextW,proxima,qua,2,19h,undefined,undefined,2023-10-11 00:00:00,2023-10-04 00:00:00,2023-10-25 00:00:00,Os participantes mergulham nos primórdios do cinema e o surgimento dos efeitos especiais nos filmes com as trucagens de Georges Méliès. Após a apresentação teórica os participantes irão realizar exercícios práticos elaborando cenas e esquetes para serem filmadas utilizando alguns recursos propostos pelos orientadores de trucagem de efeitos.,outros,,,0,0,noite
70000005647465,100,2,cursos e oficinas,9,Meio Ambiente,70,Santo Amaro,capital,1,outros,,Alimentos Orgânicos  e Agroecológicos,Projeto Ideias e Ações Para um Novo Tempo - Feira Permanente de Alimentos Orgânicos e Agroecológicos - Programação Meio Ambiente,uma,nextW,proxima,qua,2,11h,undefined,undefined,2023-10-11 00:00:00,2023-10-05 00:00:00,2023-10-25 00:00:00,"Barracas com a disponibilização de alimentos orgânicos, como frutas, verduras, mel, café e pães de produtores orgânicos da zona sul de São Paulo. O objetivo é ampliar o acesso a ingredientes frescos, saudáveis, sazonais e sem agrotóxicos. Projeto com Intervenção e vivência sobre os processos da produção de alimentos orgânicos realizado pelos produtores do Extremo Sul de São Paulo.",grátis,,,0,0,manhã
70000005658688,400,4,exposições,2,Teatro,70,Santo Amaro,capital,0,outros,,Histórias da gaveta com Cia Teatro InComum,,uma,nextW,proxima,dom,6,13h,undefined,undefined,2023-10-15 00:00:00,2023-10-01 00:00:00,2023-10-15 00:00:00,"E se você abrisse uma gaveta e lá de dentro surgisse um livro? E de outra, uma música? E se abríssemos mais uma e de lá saíssem trava-línguas e adivinhas? Guarda-Pó e Tira-Poeira nos convidam a embarcar em uma jornada cheia de descobertas. Basta um simples gesto de abrir, de dar espaço e as histórias estão prontas para serem compartilhadas.",outros,,,0,0,tarde
70000005658688,400,4,exposições,2,Teatro,70,Santo Amaro,capital,0,outros,,Histórias da gaveta com Cia Teatro InComum,,uma,nextW,proxima,dom,6,14h,undefined,undefined,2023-10-15 00:00:00,2023-10-01 00:00:00,2023-10-15 00:00:00,"E se você abrisse uma gaveta e lá de dentro surgisse um livro? E de outra, uma música? E se abríssemos mais uma e de lá saíssem trava-línguas e adivinhas? Guarda-Pó e Tira-Poeira nos convidam a embarcar em uma jornada cheia de descobertas. Basta um simples gesto de abrir, de dar espaço e as histórias estão prontas para serem compartilhadas.",outros,,,0,0,tarde
70000005658688,400,4,exposições,2,Teatro,70,Santo Amaro,capital,0,outros,,Histórias da gaveta com Cia Teatro InComum,,uma,nextW,proxima,dom,6,15h,undefined,undefined,2023-10-15 00:00:00,2023-10-01 00:00:00,2023-10-15 00:00:00,"E se você abrisse uma gaveta e lá de dentro surgisse um livro? E de outra, uma música? E se abríssemos mais uma e de lá saíssem trava-línguas e adivinhas? Guarda-Pó e Tira-Poeira nos convidam a embarcar em uma jornada cheia de descobertas. Basta um simples gesto de abrir, de dar espaço e as histórias estão prontas para serem compartilhadas.",outros,,,0,0,tarde
70000005662278,270,1,shows e espetáculos,1,Música,70,Santo Amaro,capital,0,outros,,Rodrigo Campos - Pagode novo,,uma,nextW,proxima,sáb,5,20h,undefined,undefined,2023-10-14 00:00:00,2023-10-14 00:00:00,2023-10-14 00:00:00,"Pagode Novo, o show mais recente de Rodrigo Campos, traz no nome a possibilidade de uma expansão de gênero. Em outras palavras, do ponto de vista conceitual, tudo aquilo que o pagode traria, na essência, a festa, o ritmo, a cultura, é amplificado por influências externas, como a bossa nova, o modernismo e o cinema novo.",a_venda,,,0,0,noite
70000005662315,270,1,shows e espetáculos,1,Música,70,Santo Amaro,capital,0,outros,,Érica Martins,,uma,thisW,agora,sex,4,21h,undefined,undefined,2023-10-06 00:00:00,2023-10-06 00:00:00,2023-10-06 00:00:00,"Acompanhada por uma banda composta por grandes mulheres musicistas - Theo Charbel, Fernanda Terra e Fernanda Offner - a cantora visita sucessos e composições da sua carreira, feats e músicas que embalam a sua vida, como por exemplo: Menino Bonito de Rita Lee, numa versão intimista.",a_venda,,,0,0,noite
70000005666888,200,1,shows e espetáculos,1,Música,70,Santo Amaro,capital,1,outros,Música ao cair da tarde,Guilherme Maximiano,,uma,thisW,agora,sex,4,19h,undefined,undefined,2023-10-06 00:00:00,2023-10-06 00:00:00,2023-11-03 00:00:00,"O guitarrista Guilherme Maximiano apresenta as músicas do álbum autoral ""Sério Agora"", lançado em 2021. A apresentação acontece em duo com o baixista cajuruense Hugo Fonseca.",grátis,,,0,0,noite
70000005667017,250,1,shows e espetáculos,7,Literatura,70,Santo Amaro,capital,1,outros,,Monstros e Lobos...,Com o Grupo As Meninas do Conto,uma,thisW,agora,sáb,5,14h,undefined,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-07 00:00:00,O que você faria se encontrasse com um monstro? E com um lobo? Ou talvez um troll? Com o Grupo As Meninas do Conto. Libras.,grátis,1,Tradução em Libras,0,0,tarde
70000005667071,250,1,shows e espetáculos,7,Literatura,70,Santo Amaro,capital,1,outros,,Histórias de Todos os Cantos Para Todos os Ouvidos,Com o Grupo As Meninas do Conto,uma,nextW,proxima,sáb,5,14h,undefined,undefined,2023-10-14 00:00:00,2023-10-14 00:00:00,2023-10-14 00:00:00,"Preparem seus ouvidos, que as histórias vão começar! Neste encontro daremos um passeio pelo mundo através das histórias, com diversas paisagens, sons, cores, cheiros e sabores.  Com o Grupo As Meninas do Conto. Libras.",grátis,1,Tradução em Libras,0,0,tarde
